,,,num_fault,vl_opt,lb_opt,vl_lr,lb_lr,vl_act,lb_act,vl_loss,lb_loss,vl_epoch,lb_epoch,ft_val_loss,ft_val_accuracy,ft_loss,ft_accuracy,time,autoTrainer,ft_not_converge_mean,ft_not_converge_std,ft_not_converge_skew,ft_not_converge_median,ft_not_converge_var,ft_not_converge_sem,ft_not_converge_max,ft_not_converge_min,ft_unstable_loss_mean,ft_unstable_loss_std,ft_unstable_loss_skew,ft_unstable_loss_median,ft_unstable_loss_var,ft_unstable_loss_sem,ft_unstable_loss_max,ft_unstable_loss_min,ft_nan_loss_mean,ft_nan_loss_std,ft_nan_loss_skew,ft_nan_loss_median,ft_nan_loss_var,ft_nan_loss_sem,ft_nan_loss_max,ft_nan_loss_min,ft_test_not_well_mean,ft_test_not_well_std,ft_test_not_well_skew,ft_test_not_well_median,ft_test_not_well_var,ft_test_not_well_sem,ft_test_not_well_max,ft_test_not_well_min,ft_test_turn_bad_mean,ft_test_turn_bad_std,ft_test_turn_bad_skew,ft_test_turn_bad_median,ft_test_turn_bad_var,ft_test_turn_bad_sem,ft_test_turn_bad_max,ft_test_turn_bad_min,ft_sc_accuracy_mean,ft_sc_accuracy_std,ft_sc_accuracy_skew,ft_sc_accuracy_median,ft_sc_accuracy_var,ft_sc_accuracy_sem,ft_sc_accuracy_max,ft_sc_accuracy_min,ft_died_relu_mean,ft_died_relu_std,ft_died_relu_skew,ft_died_relu_median,ft_died_relu_var,ft_died_relu_sem,ft_died_relu_max,ft_died_relu_min,ft_vanish_gradient_mean,ft_vanish_gradient_std,ft_vanish_gradient_skew,ft_vanish_gradient_median,ft_vanish_gradient_var,ft_vanish_gradient_sem,ft_vanish_gradient_max,ft_vanish_gradient_min,ft_explode_gradient_mean,ft_explode_gradient_std,ft_explode_gradient_skew,ft_explode_gradient_median,ft_explode_gradient_var,ft_explode_gradient_sem,ft_explode_gradient_max,ft_explode_gradient_min,ft_nan_gradient_mean,ft_nan_gradient_std,ft_nan_gradient_skew,ft_nan_gradient_median,ft_nan_gradient_var,ft_nan_gradient_sem,ft_nan_gradient_max,ft_nan_gradient_min,ft_large_weight_mean,ft_large_weight_std,ft_large_weight_skew,ft_large_weight_median,ft_large_weight_var,ft_large_weight_sem,ft_large_weight_max,ft_large_weight_min,ft_nan_weight_mean,ft_nan_weight_std,ft_nan_weight_skew,ft_nan_weight_median,ft_nan_weight_var,ft_nan_weight_sem,ft_nan_weight_max,ft_nan_weight_min,ft_weight_change_little_mean,ft_weight_change_little_std,ft_weight_change_little_skew,ft_weight_change_little_median,ft_weight_change_little_var,ft_weight_change_little_sem,ft_weight_change_little_max,ft_weight_change_little_min,ft_decrease_acc_mean,ft_decrease_acc_std,ft_decrease_acc_skew,ft_decrease_acc_median,ft_decrease_acc_var,ft_decrease_acc_sem,ft_decrease_acc_max,ft_decrease_acc_min,ft_increase_loss_mean,ft_increase_loss_std,ft_increase_loss_skew,ft_increase_loss_median,ft_increase_loss_var,ft_increase_loss_sem,ft_increase_loss_max,ft_increase_loss_min,ft_cons_mean_weight_mean,ft_cons_mean_weight_std,ft_cons_mean_weight_skew,ft_cons_mean_weight_median,ft_cons_mean_weight_var,ft_cons_mean_weight_sem,ft_cons_mean_weight_max,ft_cons_mean_weight_min,ft_cons_std_weight_mean,ft_cons_std_weight_std,ft_cons_std_weight_skew,ft_cons_std_weight_median,ft_cons_std_weight_var,ft_cons_std_weight_sem,ft_cons_std_weight_max,ft_cons_std_weight_min,ft_nan_acc_mean,ft_nan_acc_std,ft_nan_acc_skew,ft_nan_acc_median,ft_nan_acc_var,ft_nan_acc_sem,ft_nan_acc_max,ft_nan_acc_min,ft_NC0.1_mean,ft_NC0.1_std,ft_NC0.1_skew,ft_NC0.1_median,ft_NC0.1_var,ft_NC0.1_sem,ft_NC0.1_max,ft_NC0.1_min,ft_NC0.3_mean,ft_NC0.3_std,ft_NC0.3_skew,ft_NC0.3_median,ft_NC0.3_var,ft_NC0.3_sem,ft_NC0.3_max,ft_NC0.3_min,ft_NC0.5_mean,ft_NC0.5_std,ft_NC0.5_skew,ft_NC0.5_median,ft_NC0.5_var,ft_NC0.5_sem,ft_NC0.5_max,ft_NC0.5_min,ft_NC0.7_mean,ft_NC0.7_std,ft_NC0.7_skew,ft_NC0.7_median,ft_NC0.7_var,ft_NC0.7_sem,ft_NC0.7_max,ft_NC0.7_min,ft_NC0.9_mean,ft_NC0.9_std,ft_NC0.9_skew,ft_NC0.9_median,ft_NC0.9_var,ft_NC0.9_sem,ft_NC0.9_max,ft_NC0.9_min,ft_TKNC_mean,ft_TKNC_std,ft_TKNC_skew,ft_TKNC_median,ft_TKNC_var,ft_TKNC_sem,ft_TKNC_max,ft_TKNC_min,ft_TKNP_mean,ft_TKNP_std,ft_TKNP_skew,ft_TKNP_median,ft_TKNP_var,ft_TKNP_sem,ft_TKNP_max,ft_TKNP_min,ft_KMNC_mean,ft_KMNC_std,ft_KMNC_skew,ft_KMNC_median,ft_KMNC_var,ft_KMNC_sem,ft_KMNC_max,ft_KMNC_min,ft_NBC_mean,ft_NBC_std,ft_NBC_skew,ft_NBC_median,ft_NBC_var,ft_NBC_sem,ft_NBC_max,ft_NBC_min,ft_SNAC_mean,ft_SNAC_std,ft_SNAC_skew,ft_SNAC_median,ft_SNAC_var,ft_SNAC_sem,ft_SNAC_max,ft_SNAC_min,is_kill,is_faulty,impact_val_acc
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_selu,1,0,,0,,0,selu,0,,0,,0,0.088884469,0.986000001,0.071901942,0.99223334,4.51125491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.484848485,5.286310221,0.415138271,5,27.94507576,0.920228492,16,0,5.575757576,4.534798115,0.438071448,5,20.56439394,0.789407026,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19127745,0.438581327,5.570444957,0.09526633,0.192353581,0.076347209,2.6099217,0.06497231,0.952769886,0.151604412,-5.638938184,0.98046875,0.022983898,0.026390941,0.99609375,0.11328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988648091,0.001298561,0.585582726,0.988476092,1.69E-06,0.000749725,0.99002408,0.9874441,0.948801743,0.006815864,-0.412813403,0.949432405,4.65E-05,0.003935141,0.955280358,0.941692466,0.802258915,0.023328704,-0.879724434,0.807017544,0.000544228,0.013468833,0.822841417,0.776917785,0.475289531,0.016590811,-0.711600359,0.477984176,0.000275255,0.009578709,0.490368077,0.45751634,0.152161449,0.006156814,1.025648964,0.150670795,3.79E-05,0.003554638,0.158926729,0.146886825,0.313381493,0.019364173,0.199457831,0.3125215,0.000374971,0.011179911,0.333161335,0.294461644,58585.33333,67.00994951,0.089503493,58584,4490.333333,38.68821239,58653,58519,0.988441692,0.000982201,0.313661351,0.988372893,9.65E-07,0.000567074,0.989456484,0.9874957,0.000114666,0.000131366,0.93521953,8.60E-05,1.73E-08,7.58E-05,0.000257998,0,0.000229331,0.000262732,0.93521953,0.000171999,6.90E-08,0.000151689,0.000515996,0,0,0,-0.00184
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_selu,2,0,,0,,0,selu,0,,0,,0,0.09242687,0.985400021,0.085329262,0.98793334,0.894791365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409090909,2.403550764,-0.080716101,3.5,5.777056277,0.512438745,7,0,2.545454545,2.154226692,-0.068331477,3,4.640692641,0.459282674,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245985978,0.542359745,4.597275187,0.113010565,0.294154093,0.115631486,2.6592214,0.062637664,0.935546875,0.18821459,-4.60455924,0.982421875,0.035424732,0.040127485,1,0.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987788098,0.001459457,,0.987788098,2.13E-06,0.001031992,0.988820089,0.986756106,0.948142415,0.00522972,,0.948142415,2.73E-05,0.00369797,0.951840385,0.944444444,0.795149639,0.021162122,,0.795149639,0.000447835,0.01496388,0.810113519,0.780185759,0.46001032,0.018851316,,0.46001032,0.000355372,0.013329893,0.473340213,0.446680427,0.094255246,0.000729728,,0.094255246,5.33E-07,0.000515996,0.094771242,0.09373925,0.352253182,0.021648608,,0.352253182,0.000468662,0.015307878,0.36756106,0.336945304,58886.5,27.57716447,,58886.5,760.5,19.5,58906,58867,0.987891297,0.001143241,,0.987891297,1.31E-06,0.000808394,0.98869969,0.987082903,0.000171999,0.000121621,,0.000171999,1.48E-08,8.60E-05,0.000257998,8.60E-05,0.000343997,0.000243243,,0.000343997,5.92E-08,0.000171999,0.000515996,0.000171999,0,0,-0.00184
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_selu,3,0,,0,,0,selu,0,,0,,0,0.091475199,0.985700011,0.086646876,0.98805,3.928111224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.523809524,3.473025304,0.143652606,5,12.06190476,0.757876255,10,0,1.952380952,1.883512423,0.472560822,2,3.547619048,0.411016107,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253716709,0.552989262,4.477765822,0.11776311,0.305797124,0.12067215,2.6496334,0.07476396,0.930803571,0.187565674,-4.493019865,0.9765625,0.035180882,0.040930186,0.9921875,0.1171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987616099,0.000729728,,0.987616099,5.33E-07,0.000515996,0.988132095,0.987100103,0.947368421,0.003891885,,0.947368421,1.51E-05,0.002751978,0.950120399,0.944616443,0.797385621,0.020675637,,0.797385621,0.000427482,0.014619883,0.812005504,0.782765738,0.430082559,0.027121571,,0.430082559,0.00073558,0.019177847,0.449260406,0.410904713,0.079721362,0.001337835,,0.079721362,1.79E-06,0.000945992,0.080667355,0.07877537,0.330925353,0.01045944,,0.330925353,0.0001094,0.007395941,0.338321293,0.323529412,58701.5,65.76093065,,58701.5,4324.5,46.5,58748,58655,0.988037496,0.000839188,,0.988037496,7.04E-07,0.000593395,0.988630891,0.9874441,0.000257998,0.000121621,,0.000257998,1.48E-08,8.60E-05,0.000343997,0.000171999,0.000515996,0.000243243,,0.000515996,5.92E-08,0.000171999,0.000687994,0.000343997,0,0,-0.00184
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_selu,4,0,,0,,0,selu,0,,0,,0,0.087250973,0.987399995,0.074696121,0.99086666,0.995210217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.516129032,3.482058469,-0.657864965,8,12.12473118,0.625396163,11,0,6.161290323,3.367459717,-0.512970555,8,11.33978495,0.60481362,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196135633,0.459693588,5.422960279,0.09062576,0.211318195,0.082563406,2.652178,0.05791372,0.950982863,0.165174304,-5.462002774,0.984375,0.027282551,0.029666181,1,0.06640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988132095,0.001658695,-1.545392526,0.988820089,2.75E-06,0.000957648,0.989336085,0.98624011,0.94455911,0.006754825,-0.599843388,0.945476436,4.56E-05,0.0038999,0.950808394,0.937392501,0.789359018,0.026090742,-0.846413683,0.794461644,0.000680727,0.015063497,0.8125215,0.761093911,0.423861942,0.0366314,-1.270592782,0.435328517,0.001341859,0.021149149,0.453388373,0.382868937,0.081126018,0.00172285,0.298174552,0.081011352,2.97E-06,0.000994688,0.082903337,0.079463364,0.315044146,0.015828858,0.130284225,0.314585483,0.000250553,0.009138795,0.331097351,0.299449604,57936.33333,31.75426481,1.732050808,57918,1008.333333,18.33333333,57973,57918,0.988888889,0.00107592,-1.472364,0.989301686,1.16E-06,0.000621183,0.989697282,0.987667699,0.000171999,0.000148955,1.732050808,8.60E-05,2.22E-08,8.60E-05,0.000343997,8.60E-05,0.000343997,0.00029791,1.732050808,0.000171999,8.88E-08,0.000171999,0.000687994,0.000171999,0,0,-0.00184
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_selu,5,0,,0,,0,selu,0,,0,,0,0.088402416,0.986400008,0.073030766,0.9916667,1.567222819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,4.846015989,0.234020263,6.5,23.48387097,0.856662692,15,0,7.21875,4.117111225,-0.356066385,8.5,16.95060484,0.727809317,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207064993,0.459431114,5.440508532,0.104712257,0.211076948,0.081216714,2.6926658,0.06685276,0.947631836,0.160393828,-5.47436397,0.98046875,0.02572618,0.028353891,1,0.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988476092,0.001298561,-0.585582726,0.988648091,1.69E-06,0.000749725,0.989680083,0.987100103,0.946221764,0.0074066,-0.277599502,0.946680427,5.49E-05,0.004276202,0.953388373,0.938596491,0.799793602,0.026429087,-0.739627473,0.804265566,0.000698497,0.015258841,0.82370141,0.771413829,0.445189772,0.028345004,-0.832768217,0.450636395,0.000803439,0.016364996,0.470416237,0.414516684,0.095401903,0.002008288,-0.863354188,0.095803234,4.03E-06,0.001159486,0.097179223,0.093223254,0.366529068,0.024564511,-0.344538721,0.368421053,0.000603415,0.014182327,0.390092879,0.341073271,58951.33333,79.57595952,1.694891426,58911,6332.333333,45.94320165,59043,58900,0.98836716,0.000894448,-1.146083681,0.988613691,8.00E-07,0.00051641,0.989112487,0.987375301,0.000114666,4.97E-05,1.732050808,8.60E-05,2.47E-09,2.87E-05,0.000171999,8.60E-05,0.000229331,9.93E-05,1.732050808,0.000171999,9.86E-09,5.73E-05,0.000343997,0.000171999,0,0,-0.00184
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_softplus,1,0,,0,,0,softplus,0,,0,,0,0.085373663,0.988499999,0.077265867,0.99045,4.425763488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.192307692,2.577118247,0.195003883,3,6.641538462,0.50541447,8,0,2.153846154,1.826303539,0.436932012,2,3.335384615,0.358167592,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199347184,0.458913228,4.990859474,0.08922924,0.210601351,0.090000289,2.4340022,0.05668289,0.948467548,0.171031379,-5.034613696,0.984375,0.029251732,0.033542013,1,0.11328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987788098,0.000729728,,0.987788098,5.33E-07,0.000515996,0.988304094,0.987272102,0.952872377,0.003648642,,0.952872377,1.33E-05,0.002579979,0.955452356,0.950292398,0.820519436,0.012040518,,0.820519436,0.000144974,0.008513932,0.829033368,0.812005504,0.507825937,0.025418871,,0.507825937,0.000646119,0.017973856,0.525799794,0.489852081,0.112831097,0.020675637,,0.112831097,0.000427482,0.014619883,0.12745098,0.098211214,0.377794978,0.029067513,,0.377794978,0.00084492,0.020553836,0.398348813,0.357241142,59018.5,26.1629509,,59018.5,684.5,18.5,59037,59000,0.988089095,0.000644593,,0.988089095,4.16E-07,0.000455796,0.988544892,0.987633299,0.000171999,0,,0.000171999,0,0,0.000171999,0.000171999,0.000343997,0,,0.000343997,0,0,0.000343997,0.000343997,0,0,-0.001183
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_softplus,2,0,,0,,0,softplus,0,,0,,0,0.092759517,0.984099984,0.089709392,0.98696667,0.831849085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.166666667,4.540665927,0.276860859,5.5,20.61764706,1.070245223,14,0,4.833333333,3.46834424,0.338373025,4,12.02941176,0.817496577,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269198444,0.540411347,4.187522116,0.128444205,0.292044424,0.127376176,2.4260929,0.08507961,0.921875,0.204349744,-4.201314192,0.97265625,0.041758818,0.048165697,0.9921875,0.10546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987788098,0.000486486,,0.987788098,2.37E-07,0.000343997,0.988132095,0.9874441,0.944702442,0.005472963,,0.944702442,3.00E-05,0.003869969,0.948572411,0.940832473,0.809511524,0.019824287,,0.809511524,0.000393002,0.014017888,0.823529412,0.795493636,0.460096319,0.034297233,,0.460096319,0.0011763,0.024251806,0.484348125,0.435844513,0.081785346,0.001824321,,0.081785346,3.33E-06,0.00128999,0.083075335,0.080495356,0.325163399,0.018851316,,0.325163399,0.000355372,0.013329893,0.338493292,0.311833505,58741,127.2792206,,58741,16200,90,58831,58651,0.988140695,0.000498648,,0.988140695,2.49E-07,0.000352597,0.988493292,0.987788098,0.000171999,0.000121621,,0.000171999,1.48E-08,8.60E-05,0.000257998,8.60E-05,0.000343997,0.000243243,,0.000343997,5.92E-08,0.000171999,0.000515996,0.000171999,0,0,-0.001183
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_softplus,3,0,,0,,0,softplus,0,,0,,0,0.097853232,0.982800007,0.08927982,0.98688334,1.189986083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.043185168,0.524640605,1.5,1.088235294,0.245881102,4,0,1.222222222,1.516790557,0.829259184,0.5,2.300653595,0.357510963,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2556328,0.543108966,4.158073886,0.109131133,0.294967349,0.128012011,2.4184039,0.074524,0.927517361,0.208860202,-4.190951398,0.982421875,0.043622584,0.049228822,0.9921875,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987272102,0.000972971,,0.987272102,9.47E-07,0.000687994,0.987960096,0.986584107,0.949260406,0.005594584,,0.949260406,3.13E-05,0.003955968,0.953216374,0.945304438,0.818971448,0.017391859,,0.818971448,0.000302477,0.012297902,0.83126935,0.806673547,0.509631923,0.039405331,,0.509631923,0.00155278,0.027863777,0.5374957,0.481768146,0.180684555,0.022986443,,0.180684555,0.000528377,0.01625387,0.196938424,0.164430685,0.33625731,0.024324279,,0.33625731,0.000591671,0.017199862,0.353457172,0.319057448,59078.5,75.66042559,,59078.5,5724.5,53.5,59132,59025,0.987401101,0.000839188,,0.987401101,7.04E-07,0.000593395,0.987994496,0.986807706,0.000257998,0.000121621,,0.000257998,1.48E-08,8.60E-05,0.000343997,0.000171999,0.000515996,0.000243243,,0.000515996,5.92E-08,0.000171999,0.000687994,0.000343997,0,0,-0.001183
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_softplus,4,0,,0,,0,softplus,0,,0,,0,0.083899565,0.987600029,0.0687698,0.9931167,0.887786075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.14285714,6.174629578,0.079683347,10,38.12605042,1.043702892,19,0,9.314285714,6.003780322,0.134113122,9,36.04537815,1.014824097,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181712793,0.390765845,5.664277282,0.09840643,0.152697946,0.066051483,2.3956301,0.052546304,0.954352679,0.149887017,-5.737500335,0.984375,0.022466118,0.02533553,0.99609375,0.1015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987329435,0.000947295,-1.668033683,0.987788098,8.97E-07,0.000546921,0.987960096,0.98624011,0.947253755,0.006662218,-0.956457231,0.94874441,4.44E-05,0.003846433,0.953044376,0.93997248,0.802316248,0.020194523,-0.990826429,0.807017544,0.000407819,0.011659314,0.819745442,0.780185759,0.456197684,0.034466024,-1.153619077,0.465772274,0.001187907,0.019898968,0.484864121,0.417956656,0.082387341,0.001812118,0.42327316,0.082215342,3.28E-06,0.001046227,0.084279326,0.080667355,0.31292283,0.015501202,-0.93521953,0.31630547,0.000240287,0.008949623,0.326453388,0.296009632,58590.66667,34.84728588,0.712413965,58585,1214.333333,20.11908988,58628,58559,0.987782364,0.000756859,0.068160301,0.987770898,5.73E-07,0.000436973,0.988544892,0.987031304,0.000171999,0.000148955,1.732050808,8.60E-05,2.22E-08,8.60E-05,0.000343997,8.60E-05,0.000343997,0.00029791,1.732050808,0.000171999,8.88E-08,0.000171999,0.000687994,0.000171999,0,0,-0.001183
config_random_1ed98a53-6d6f-466d-81ba-ffd8a252f5b8,act_softplus,5,0,,0,,0,softplus,0,,0,,0,0.086671343,0.986400008,0.079424202,0.99005,1.484241028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,4.184096876,-0.33742881,7,17.50666667,0.836819375,12,0,4.08,3.094618986,-0.017076686,4,9.576666667,0.618923797,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210543241,0.458191574,4.899185419,0.10902002,0.209939518,0.091638315,2.3957427,0.061270256,0.941875,0.176680714,-4.927917028,0.9765625,0.031216075,0.035336143,0.99609375,0.09765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9875301,0.000121621,,0.9875301,1.48E-08,8.60E-05,0.987616099,0.9874441,0.948658411,0.004256749,,0.948658411,1.81E-05,0.003009976,0.951668387,0.945648435,0.81871345,0.013378353,,0.81871345,0.00017898,0.009459924,0.828173375,0.809253526,0.498194014,0.03052697,,0.498194014,0.000931896,0.021585827,0.519779842,0.476608187,0.087203302,0.004864856,,0.087203302,2.37E-05,0.003439972,0.090643275,0.08376333,0.346921225,0.018729695,,0.346921225,0.000350801,0.013243894,0.360165119,0.333677331,58760.5,72.83199846,,58760.5,5304.5,51.5,58812,58709,0.987848297,0.000449999,,0.987848297,2.02E-07,0.000318197,0.988166495,0.9875301,8.60E-05,0.000121621,,8.60E-05,1.48E-08,8.60E-05,0.000171999,0,0.000171999,0.000243243,,0.000171999,5.92E-08,0.000171999,0.000343997,0,0,0,-0.001183
